Date,HomeTeam,AwayTeam,FTR
2021-02-24,Willem II,ADO Den Haag,D
2021-02-24,Groningen,Feyenoord,D
2021-02-26,Zwolle,Heerenveen,H
2021-02-27,Utrecht,Emmen,A
2021-02-27,ADO Den Haag,Waalwijk,D
2021-02-27,Vitesse,VVV-Venlo,H
2021-02-27,Heracles Almeno,Twente,D
2021-02-28,Sparta Rotterdam,Willem II,A
2021-02-28,Groningen,Fortuna Sittard,H
2021-02-28,PSV Eindhoven,Ajax,D
2021-02-28,AZ Alkmaar,Feyenoord,H
2021-03-05,Emmen,Sparta Rotterdam,D
2021-03-06,Feyenoord,VVV-Venlo,H
2021-03-06,Twente,Willem II,D
2021-03-06,Heerenveen,ADO Den Haag,H
2021-03-06,Waalwijk,Utrecht,A
2021-03-07,Ajax,Groningen,H
2021-03-07,Fortuna Sittard,PSV Eindhoven,A
2021-03-07,Heracles Almeno,Zwolle,H
2021-03-07,Vitesse,AZ Alkmaar,H
2021-03-09,VVV-Venlo,Sparta Rotterdam,A
2021-03-13,Willem II,Heerenveen,H
2021-03-13,ADO Den Haag,Heracles Almeno,A
2021-03-13,AZ Alkmaar,Twente,H
2021-03-13,Groningen,Emmen,D
2021-03-13,Sparta Rotterdam,Waalwijk,H
2021-03-14,VVV-Venlo,Fortuna Sittard,A
2021-03-14,PSV Eindhoven,Feyenoord,D
2021-03-14,Utrecht,Vitesse,A
2021-03-14,Zwolle,Ajax,A
2021-03-19,Heerenveen,Twente,D
2021-03-20,Fortuna Sittard,Utrecht,A
2021-03-20,Feyenoord,Emmen,D
2021-03-20,Waalwijk,Groningen,H
2021-03-21,Zwolle,VVV-Venlo,H
2021-03-21,AZ Alkmaar,PSV Eindhoven,H
2021-03-21,Vitesse,Willem II,D
2021-03-21,Heracles Almeno,Sparta Rotterdam,D
2021-03-21,Ajax,ADO Den Haag,H
2021-04-03,VVV-Venlo,Groningen,A
2021-04-03,Twente,Vitesse,A
2021-04-03,Willem II,AZ Alkmaar,A
2021-04-03,Sparta Rotterdam,Zwolle,H
2021-04-04,Feyenoord,Fortuna Sittard,H
2021-04-04,ADO Den Haag,Utrecht,A
2021-04-04,PSV Eindhoven,Heracles Almeno,H
2021-04-04,Emmen,Waalwijk,H
2021-04-04,Heerenveen,Ajax,A
2021-04-09,Vitesse,ADO Den Haag,D
2021-04-10,Heracles Almeno,Willem II,H
2021-04-10,AZ Alkmaar,Sparta Rotterdam,H
2021-04-10,Fortuna Sittard,Emmen,A
2021-04-10,Zwolle,Twente,H
2021-04-11,Utrecht,Feyenoord,A
2021-04-11,Groningen,Heerenveen,A
2021-04-11,VVV-Venlo,PSV Eindhoven,A
2021-04-11,Waalwijk,Ajax,A
2021-04-22,Ajax,Utrecht,D
2021-04-23,Willem II,Waalwijk,H
2021-04-24,Heerenveen,Zwolle,A
2021-04-24,PSV Eindhoven,Groningen,H
2021-04-24,Sparta Rotterdam,VVV-Venlo,H
2021-04-25,Emmen,Heracles Almeno,H
2021-04-25,Ajax,AZ Alkmaar,H
2021-04-25,ADO Den Haag,Fortuna Sittard,A
2021-04-25,Feyenoord,Vitesse,D
2021-04-25,Twente,Utrecht,A
2021-05-01,Heracles Almeno,VVV-Venlo,H
2021-05-01,Fortuna Sittard,Twente,H
2021-05-01,Vitesse,Zwolle,H
2021-05-01,Waalwijk,AZ Alkmaar,A
2021-05-01,Utrecht,Willem II,H
2021-05-02,ADO Den Haag,Feyenoord,H
2021-05-02,Ajax,Emmen,H
2021-05-02,Groningen,Sparta Rotterdam,A
2021-05-02,PSV Eindhoven,Heerenveen,D
2021-05-07,Sparta Rotterdam,Vitesse,H
2021-05-08,Twente,Heracles Almeno,D
2021-05-08,Heerenveen,Utrecht,D
2021-05-08,AZ Alkmaar,Fortuna Sittard,H
2021-05-08,VVV-Venlo,Waalwijk,D
2021-05-09,Emmen,Groningen,A
2021-05-09,Feyenoord,Ajax,A
2021-05-09,Zwolle,ADO Den Haag,A
2021-05-09,Willem II,PSV Eindhoven,A
2021-05-13,Ajax,VVV-Venlo,H
2021-05-13,ADO Den Haag,Willem II,A
2021-05-13,Emmen,Heerenveen,H
2021-05-13,Fortuna Sittard,Vitesse,D
2021-05-13,Groningen,AZ Alkmaar,D
2021-05-13,Heracles Almeno,Feyenoord,D
2021-05-13,PSV Eindhoven,Zwolle,H
2021-05-13,Sparta Rotterdam,Utrecht,D
2021-05-13,Waalwijk,Twente,H
2021-05-16,AZ Alkmaar,Heracles Almeno,H
2021-05-16,Feyenoord,Waalwijk,H
2021-05-16,Heerenveen,Sparta Rotterdam,A
2021-05-16,Twente,ADO Den Haag,H
2021-05-16,Utrecht,PSV Eindhoven,D
2021-05-16,Vitesse,Ajax,A
2021-05-16,VVV-Venlo,Emmen,A
2021-05-16,Willem II,Fortuna Sittard,H
2021-05-16,Zwolle,Groningen,H
