Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HF,AF,HC,AC,HY,AY,HR,AR,Season
2018-09-30,Chievo Verona,Torino,0,1,A,15,17,3,8,3,3,0,0,2018
2018-09-30,Fiorentina,Atalanta,2,0,H,12,10,5,6,3,3,0,0,2018
2018-09-30,Frosinone,Genoa,1,2,A,21,18,5,2,3,2,0,0,2018
2018-09-30,Parma,Empoli,1,0,H,13,8,2,12,2,3,0,0,2018
2018-09-30,Sassuolo,AC Milan,1,4,A,14,11,9,5,1,1,0,0,2018
2018-01-10,Sampdoria,SPAL,2,1,H,13,18,6,5,3,3,0,0,2018
2018-05-10,Torino,Frosinone,3,2,H,16,17,2,4,3,3,0,0,2018
2018-06-10,Cagliari,Bologna,2,0,H,8,16,4,4,2,4,0,0,2018
2018-06-10,Empoli,AS Roma,0,2,A,13,10,4,3,2,1,0,0,2018
2018-06-10,Udinese,Juventus,0,2,A,14,13,4,8,3,1,0,0,2018
2018-07-10,Atalanta,Sampdoria,0,1,A,17,13,9,4,2,4,0,0,2018
2018-07-10,Genoa,Parma,1,3,A,9,9,9,7,1,1,0,0,2018
2018-07-10,Lazio,Fiorentina,1,0,H,18,10,5,6,5,3,0,0,2018
2018-07-10,AC Milan,Chievo Verona,3,1,H,9,12,12,7,1,1,0,0,2018
2018-07-10,Napoli,Sassuolo,2,0,H,11,8,4,4,2,2,0,1,2018
2018-07-10,SPAL,Internazionale,1,2,A,13,20,10,9,6,2,0,0,2018
2018-10-20,Juventus,Genoa,1,1,D,10,15,8,2,1,3,0,0,2018
2018-10-20,AS Roma,SPAL,0,2,A,14,5,8,9,3,5,0,1,2018
2018-10-20,Udinese,Napoli,0,3,A,11,9,3,5,3,4,0,0,2018
2018-10-21,Bologna,Torino,2,2,D,9,21,3,4,2,2,0,0,2018
2018-10-21,Chievo Verona,Atalanta,1,5,A,12,15,1,2,3,1,1,0,2018
2018-10-21,Fiorentina,Cagliari,1,1,D,13,19,6,7,0,2,0,0,2018
2018-10-21,Frosinone,Empoli,3,3,D,13,16,6,8,2,3,0,0,2018
2018-10-21,Internazionale,AC Milan,1,0,H,13,7,9,4,2,5,0,0,2018
2018-10-21,Parma,Lazio,0,2,A,5,11,2,8,2,3,0,0,2018
2018-10-22,Sampdoria,Sassuolo,0,0,D,10,18,4,3,2,3,0,0,2018
2018-10-27,Atalanta,Parma,3,0,H,6,8,6,6,0,2,0,0,2018
2018-10-27,Empoli,Juventus,1,2,A,13,17,6,10,2,3,0,0,2018
2018-10-27,Torino,Fiorentina,1,1,D,13,20,4,5,2,4,0,0,2018
2018-10-28,Cagliari,Chievo Verona,2,1,H,16,15,8,2,1,6,0,0,2018
2018-10-28,Genoa,Udinese,2,2,D,17,18,4,8,5,4,1,0,2018
2018-10-28,AC Milan,Sampdoria,3,2,H,11,9,5,1,3,2,0,0,2018
2018-10-28,Napoli,AS Roma,1,1,D,7,6,17,3,0,5,0,0,2018
2018-10-28,Sassuolo,Bologna,2,2,D,20,19,9,5,2,3,0,0,2018
2018-10-28,SPAL,Frosinone,0,3,A,15,11,9,1,3,6,0,0,2018
2018-10-29,Lazio,Internazionale,0,3,A,14,10,7,6,3,3,0,0,2018
2018-10-31,AC Milan,Genoa,2,1,H,11,17,7,2,2,2,0,0,2018
2018-02-11,Napoli,Empoli,5,1,H,8,7,0,7,0,2,0,0,2018
2018-03-11,Fiorentina,AS Roma,1,1,D,9,20,3,6,3,3,0,0,2018
2018-03-11,Internazionale,Genoa,5,0,H,7,15,11,6,2,3,0,0,2018
2018-03-11,Juventus,Cagliari,3,1,H,10,15,5,4,1,3,0,0,2018
2018-04-11,Bologna,Atalanta,1,2,A,7,12,1,4,1,2,0,0,2018
2018-04-11,Chievo Verona,Sassuolo,0,2,A,20,16,3,2,5,2,1,0,2018
2018-04-11,Lazio,SPAL,4,1,H,7,8,8,4,1,3,0,0,2018
2018-04-11,Parma,Frosinone,0,0,D,14,15,3,7,1,4,1,0,2018
2018-04-11,Sampdoria,Torino,1,4,A,13,25,0,2,2,2,0,0,2018
2018-04-11,Udinese,AC Milan,0,1,A,11,13,4,7,3,3,1,0,2018
2018-09-11,Frosinone,Fiorentina,1,1,D,8,12,4,5,3,0,0,0,2018
2018-10-11,Genoa,Napoli,1,2,A,15,6,2,7,4,2,0,0,2018
2018-10-11,SPAL,Cagliari,2,2,D,13,15,1,6,2,4,0,0,2018
2018-10-11,Torino,Parma,1,2,A,14,17,7,7,2,4,0,0,2018
2018-11-11,Atalanta,Internazionale,4,1,H,11,13,9,6,3,5,0,1,2018
2018-11-11,Chievo Verona,Bologna,2,2,D,15,18,5,6,3,3,0,0,2018
2018-11-11,Empoli,Udinese,2,1,H,6,11,4,13,2,2,0,0,2018
2018-11-11,AC Milan,Juventus,0,2,A,16,9,2,5,3,1,1,0,2018
2018-11-11,AS Roma,Sampdoria,4,1,H,8,10,7,7,1,1,0,0,2018
2018-11-11,Sassuolo,Lazio,1,1,D,15,21,2,6,4,3,0,0,2018
2018-11-24,Internazionale,Frosinone,3,0,H,11,11,11,0,1,3,0,0,2018
2018-11-24,Juventus,SPAL,2,0,H,20,11,6,3,1,3,0,0,2018
2018-11-24,Udinese,AS Roma,1,0,H,6,10,0,12,2,0,0,0,2018
2018-11-25,Bologna,Fiorentina,0,0,D,11,21,4,9,3,1,0,0,2018
2018-11-25,Empoli,Atalanta,3,2,H,12,9,7,3,2,2,0,1,2018
2018-11-25,Genoa,Sampdoria,1,1,D,17,15,7,6,2,1,0,0,2018
2018-11-25,Lazio,AC Milan,1,1,D,10,4,9,4,1,1,0,0,2018
2018-11-25,Napoli,Chievo Verona,0,0,D,11,13,20,2,2,2,0,0,2018
2018-11-25,Parma,Sassuolo,2,1,H,14,14,2,3,3,4,0,0,2018
2018-11-26,Cagliari,Torino,0,0,D,12,13,3,4,2,0,0,0,2018
2018-01-12,Fiorentina,Juventus,0,3,A,14,8,4,9,6,3,0,0,2018
