name,position,birth_date,nationality,number,season,club
Aleksandr Kokorin,Centre-Forward,1991-03-19,Russia,91,2020,12
Alessio Cragno,Goalkeeper,1994-06-28,Italy,28,2020,11
Guglielmo Vicario,Goalkeeper,1996-10-07,Italy,31,2020,11
Simone Aresti,Goalkeeper,1986-03-15,Italy,1,2020,11
Sebastian Walukiewicz,Centre-Back,2000-04-05,Poland,40,2020,11
Daniele Rugani,Centre-Back,1994-07-29,Italy,24,2020,11
Andrea Carboni,Centre-Back,2001-02-04,Italy,44,2020,11
Diego Godín,Centre-Back,1986-02-16,Uruguay,2,2020,11
Luca Ceppitelli,Centre-Back,1989-08-11,Italy,23,2020,11
Ragnar Klavan,Centre-Back,1985-10-30,Estonia,15,2020,11
Charalampos Lykogiannis,Left-Back,1993-10-22,Greece,22,2020,11
Alessandro Tripaldelli,Left-Back,1999-02-09,Italy,3,2020,11
Gabriele Zappa,Right-Back,1999-12-22,Italy,25,2020,11
Arturo Calabresi,Right-Back,1996-03-17,Italy,16,2020,11
Razvan Marin,Central Midfield,1996-05-23,Romania,8,2020,11
Marko Rog,Central Midfield,1995-07-19,Croatia,6,2020,11
Alfred Duncan,Central Midfield,1993-03-10,Ghana,32,2020,11
Radja Nainggolan,Central Midfield,1988-05-04,Belgium,4,2020,11
Alessandro Deiola,Central Midfield,1995-08-01,Italy,14,2020,11
Nahitan Nández,Right Midfield,1995-12-28,Uruguay,18,2020,11
Kwadwo Asamoah,Left Midfield,1988-12-09,Ghana,19,2020,11
Gastón Pereiro,Attacking Midfield,1995-06-11,Uruguay,20,2020,11
Riccardo Sottil,Left Winger,1999-06-03,Italy,33,2020,11
Matteo Tramoni,Left Winger,2000-01-20,France,17,2020,11
Zito Luvumbo,Right Winger,2002-03-09,Angola,26,2020,11
João Pedro,Second Striker,1992-03-09,Brazil,10,2020,11
Giovanni Simeone,Centre-Forward,1995-07-05,Argentina,9,2020,11
Leonardo Pavoletti,Centre-Forward,1988-11-26,Italy,30,2020,11
Alberto Cerri,Centre-Forward,1996-04-16,Italy,27,2020,11
Salvatore Sirigu,Goalkeeper,1987-01-12,Italy,39,2020,7
Vanja Milinković-Savić,Goalkeeper,1997-02-20,Serbia,32,2020,7
Samir Ujkani,Goalkeeper,1988-07-05,Kosovo,18,2020,7
Bremer,Centre-Back,1997-03-18,Brazil,3,2020,7
Armando Izzo,Centre-Back,1992-03-02,Italy,5,2020,7
Lyanco,Centre-Back,1997-02-01,Brazil,4,2020,7
Nicolas N'Koulou,Centre-Back,1990-03-27,Cameroon,33,2020,7
Alessandro Buongiorno,Centre-Back,1999-06-06,Italy,99,2020,7
Erick Ferigra,Centre-Back,1999-02-07,Ecuador,45,2020,7
Nicola Murru,Left-Back,1994-12-16,Italy,29,2020,7
Ricardo Rodríguez,Left-Back,1992-08-25,Switzerland,13,2020,7
Cristian Ansaldi,Left-Back,1986-09-20,Argentina,15,2020,7
Wilfried Singo,Right-Back,2000-12-25,Cote d'Ivoire,17,2020,7
Mërgim Vojvoda,Right-Back,1995-02-01,Kosovo,27,2020,7
Rolando Mandragora,Defensive Midfield,1997-06-29,Italy,38,2020,7
Tomás Rincón,Defensive Midfield,1988-01-13,Venezuela,88,2020,7
Karol Linetty,Central Midfield,1995-02-02,Poland,77,2020,7
Sasa Lukic,Central Midfield,1996-08-13,Serbia,7,2020,7
Daniele Baselli,Central Midfield,1992-03-12,Italy,8,2020,7
Simone Verdi,Attacking Midfield,1992-07-12,Italy,24,2020,7
Amer Gojak,Attacking Midfield,1997-02-13,Bosnia-Herzegovina,10,2020,7
Andrea Belotti,Centre-Forward,1993-12-20,Italy,9,2020,7
Antonio Sanabria,Centre-Forward,1996-03-04,Paraguay,19,2020,7
Federico Bonazzoli,Centre-Forward,1997-05-21,Italy,26,2020,7
Simone Zaza,Centre-Forward,1991-06-25,Italy,11,2020,7
Andrea Consigli,Goalkeeper,1987-01-27,Italy,47,2020,6
Stefano Turati,Goalkeeper,2001-09-05,Italy,63,2020,6
Gianluca Pegolo,Goalkeeper,1981-03-25,Italy,56,2020,6
Gian Marco Ferrari,Centre-Back,1992-05-15,Italy,31,2020,6
Marlon,Centre-Back,1995-09-07,Brazil,2,2020,6
Kaan Ayhan,Centre-Back,1994-11-10,Turkey,5,2020,6
Vlad Chiriches,Centre-Back,1989-11-14,Romania,21,2020,6
Filippo Romagna,Centre-Back,1997-05-26,Italy,19,2020,6
Federico Peluso,Centre-Back,1984-01-20,Italy,13,2020,6
Rogério,Left-Back,1998-01-13,Brazil,6,2020,6
Georgios Kyriakopoulos,Left-Back,1996-02-05,Greece,77,2020,6
Mert Müldür,Right-Back,1999-04-03,Turkey,17,2020,6
Jeremy Toljan,Right-Back,1994-08-08,Germany,22,2020,6
Manuel Locatelli,Defensive Midfield,1998-01-08,Italy,73,2020,6
Francesco Magnanelli,Defensive Midfield,1984-11-12,Italy,4,2020,6
Maxime López,Central Midfield,1997-12-04,France,8,2020,6
Pedro Obiang,Central Midfield,1992-03-27,Equatorial Guinea,14,2020,6
Mehdi Bourabia,Central Midfield,1991-08-07,Morocco,68,2020,6
Hamed Junior Traorè,Attacking Midfield,2000-02-16,Cote d'Ivoire,23,2020,6
Filip Djuricic,Attacking Midfield,1992-01-30,Serbia,10,2020,6
Jérémie Boga,Left Winger,1997-01-03,Cote d'Ivoire,7,2020,6
Lukas Haraslin,Left Winger,1996-05-26,Slovakia,27,2020,6
Domenico Berardi,Right Winger,1994-08-01,Italy,25,2020,6
Brian Oddei,Right Winger,2002-09-18,Italy,30,2020,6
Giacomo Raspadori,Centre-Forward,2000-02-18,Italy,18,2020,6
Francesco Caputo,Centre-Forward,1987-08-06,Italy,9,2020,6
Grégoire Defrel,Centre-Forward,1991-06-17,Martinique,92,2020,6
Juan Musso,Goalkeeper,1994-05-06,Argentina,1,2020,17
Simone Scuffet,Goalkeeper,1996-05-31,Italy,96,2020,17
Manuel Gasparini,Goalkeeper,2002-05-19,Italy,31,2020,17
Kevin Bonifazi,Centre-Back,1996-05-19,Italy,14,2020,17
Samir,Centre-Back,1994-12-05,Brazil,3,2020,17
Bram Nuytinck,Centre-Back,1990-05-04,Netherlands,17,2020,17
Rodrigo Becão,Centre-Back,1996-01-19,Brazil,50,2020,17
Sebastien De Maio,Centre-Back,1987-03-05,France,87,2020,17
Sebastian Prödl,Centre-Back,1987-06-21,Austria,4,2020,17
Marvin Zeegelaar,Left-Back,1990-08-12,Netherlands,90,2020,17
Nahuel Molina,Right-Back,1998-04-06,Argentina,16,2020,17
Jens Stryger Larsen,Right-Back,1991-02-21,Denmark,19,2020,17
Walace,Defensive Midfield,1995-04-04,Brazil,11,2020,17
Mato Jajalo,Defensive Midfield,1988-05-25,Bosnia-Herzegovina,8,2020,17
Rodrigo de Paul,Central Midfield,1994-05-24,Argentina,10,2020,17
Jean-Victor Makengo,Central Midfield,1998-06-12,France,6,2020,17
Tolgay Arslan,Central Midfield,1990-08-16,Germany,22,2020,17
Martin Palumbo,Central Midfield,2002-03-05,Norway,64,2020,17
Thomas Ouwejan,Left Midfield,1996-09-30,Netherlands,5,2020,17
Roberto Pereyra,Attacking Midfield,1991-01-07,Argentina,37,2020,17
Petar Micin,Attacking Midfield,1998-09-29,Serbia,29,2020,17
Gerard Deulofeu,Left Winger,1994-03-13,Spain,9,2020,17
Jayden Braaf,Left Winger,2002-08-31,Netherlands,21,2020,17
Ignacio Pussetto,Right Winger,1995-12-21,Argentina,23,2020,17
Fernando Forestieri,Second Striker,1990-01-15,Italy,45,2020,17
Stefano Okaka,Centre-Forward,1989-08-09,Italy,7,2020,17
Ilija Nestorovski,Centre-Forward,1990-03-12,North Macedonia,30,2020,17
Fernando Llorente,Centre-Forward,1985-02-26,Spain,32,2020,17
Lukasz Skorupski,Goalkeeper,1991-05-05,Poland,28,2020,3
Angelo da Costa,Goalkeeper,1983-11-12,Brazil,1,2020,3
Federico Ravaglia,Goalkeeper,1999-11-11,Italy,34,2020,3
Sebastian Breza,Goalkeeper,1998-03-15,Canada,20,2020,3
Adama Soumaoro,Centre-Back,1992-06-18,France,5,2020,3
Valentin Antov,Centre-Back,2000-11-09,Bulgaria,26,2020,3
Nehuén Paz,Centre-Back,1993-04-28,Argentina,6,2020,3
Danilo,Centre-Back,1984-05-10,Brazil,23,2020,3
Omar Khailoti,Centre-Back,2001-09-05,Italy,68,2020,3
Wisdom Amey,Centre-Back,2005-08-11,Italy,6,2020,3
Aaron Hickey,Left-Back,2002-06-10,Scotland,3,2020,3
Mitchell Dijks,Left-Back,1993-02-09,Netherlands,35,2020,3
Takehiro Tomiyasu,Right-Back,1998-11-05,Japan,14,2020,3
Paolo Faragò,Right-Back,1993-02-12,Italy,43,2020,3
Lorenzo De Silvestri,Right-Back,1988-05-23,Italy,29,2020,3
Arturo Calabresi,Right-Back,1996-03-17,Italy,33,2020,3
Ibrahima Mbaye,Right-Back,1994-11-19,Senegal,15,2020,3
Gary Medel,Defensive Midfield,1987-08-03,Chile,17,2020,3
Mattias Svanberg,Central Midfield,1999-01-05,Sweden,32,2020,3
Nicolás Domínguez,Central Midfield,1998-06-28,Argentina,8,2020,3
Jerdy Schouten,Central Midfield,1997-01-12,Netherlands,30,2020,3
Andrea Poli,Central Midfield,1989-09-29,Italy,16,2020,3
Andri Fannar Baldursson,Central Midfield,2002-01-10,Iceland,18,2020,3
Kingsley Michael,Central Midfield,1999-08-26,Nigeria,22,2020,3
Roberto Soriano,Attacking Midfield,1991-02-08,Italy,21,2020,3
Nicola Sansone,Left Winger,1991-09-10,Italy,10,2020,3
Musa Juwara,Left Winger,2001-12-26,The Gambia,80,2020,3
Matias Rocchi,Left Winger,2002-10-23,Italy,31,2020,3
Riccardo Orsolini,Right Winger,1997-01-24,Italy,7,2020,3
Andreas Skov Olsen,Right Winger,1999-12-29,Denmark,11,2020,3
Emanuel Vignato,Right Winger,2000-08-24,Italy,55,2020,3
Musa Barrow,Centre-Forward,1998-11-14,The Gambia,99,2020,3
Federico Santander,Centre-Forward,1991-06-04,Paraguay,9,2020,3
Edoardo Vergani,Centre-Forward,2001-02-06,Italy,63,2020,3
Rodrigo Palacio,Centre-Forward,1982-02-05,Argentina,24,2020,3
Simone Rabbi,Centre-Forward,2001-10-30,Italy,19,2020,3
Mattia Pagliuca,Centre-Forward,2002-04-25,Italy,44,2020,3
Antonio Raimondo,Centre-Forward,2004-03-18,Italy,76,2020,3
Luigi Sepe,Goalkeeper,1991-05-08,Italy,1,2020,5
Simone Colombi,Goalkeeper,1991-07-01,Italy,34,2020,5
Filippo Rinaldi,Goalkeeper,2002-12-04,Italy,77,2020,5
Lautaro Valenti,Centre-Back,1999-01-14,Argentina,30,2020,5
Yordan Osorio,Centre-Back,1994-05-10,Venezuela,24,2020,5
Mattia Bani,Centre-Back,1993-12-10,Italy,13,2020,5
Riccardo Gagliolo,Centre-Back,1990-04-28,Sweden,7,2020,5
Daan Dierckx,Centre-Back,2003-02-24,Belgium,29,2020,5
Simone Iacoponi,Centre-Back,1987-04-30,Italy,2,2020,5
Botond Balogh,Centre-Back,2002-06-06,Hungary,4,2020,5
Bruno Alves,Centre-Back,1981-11-27,Portugal,22,2020,5
Giuseppe Pezzella,Left-Back,1997-11-29,Italy,3,2020,5
Vasilios Zagaritis,Left-Back,2001-05-04,Greece,20,2020,5
Andrea Conti,Right-Back,1994-03-02,Italy,5,2020,5
Maxime Busi,Right-Back,1999-10-14,Belgium,42,2020,5
Vincent Laurini,Right-Back,1989-06-10,France,16,2020,5
Simon Sohm,Defensive Midfield,2001-04-11,Switzerland,19,2020,5
Gastón Brugman,Defensive Midfield,1992-09-07,Uruguay,15,2020,5
Hernani,Central Midfield,1994-03-27,Brazil,23,2020,5
Wylan Cyprien,Central Midfield,1995-01-28,France,18,2020,5
Alberto Grassi,Central Midfield,1995-03-07,Italy,8,2020,5
Juraj Kucka,Central Midfield,1987-02-26,Slovakia,33,2020,5
Jasmin Kurtic,Central Midfield,1989-01-10,Slovenia,14,2020,5
Hans Nicolussi Caviglia,Central Midfield,2000-06-18,Italy,41,2020,5
Juan Brunetta,Attacking Midfield,1997-05-12,Argentina,32,2020,5
Valentin Mihaila,Left Winger,2000-02-02,Romania,28,2020,5
Yann Karamoh,Left Winger,1998-07-08,Cote d'Ivoire,10,2020,5
Gervinho,Left Winger,1987-05-27,Cote d'Ivoire,27,2020,5
Dennis Man,Right Winger,1998-08-26,Romania,98,2020,5
Mattia Sprocati,Right Winger,1993-04-28,Italy,93,2020,5
Joshua Zirkzee,Centre-Forward,2001-05-22,Netherlands,17,2020,5
Andreas Cornelius,Centre-Forward,1993-03-16,Denmark,11,2020,5
Roberto Inglese,Centre-Forward,1991-11-12,Italy,45,2020,5
Graziano Pellè,Centre-Forward,1985-07-15,Italy,9,2020,5
Emil Audero,Goalkeeper,1997-01-18,Italy,1,2020,20
Karlo Letica,Goalkeeper,1997-02-11,Croatia,34,2020,20
Nicola Ravaglia,Goalkeeper,1988-12-12,Italy,30,2020,20
Omar Colley,Centre-Back,1992-10-24,The Gambia,15,2020,20
Maya Yoshida,Centre-Back,1988-08-24,Japan,22,2020,20
Lorenzo Tonelli,Centre-Back,1990-01-17,Italy,21,2020,20
Alex Ferrari,Centre-Back,1994-07-01,Italy,25,2020,20
Kaique Rocha,Centre-Back,2001-02-28,Brazil,2,2020,20
Tommaso Augello,Left-Back,1994-08-30,Italy,3,2020,20
Vasco Regini,Left-Back,1990-09-09,Italy,19,2020,20
Bartosz Bereszynski,Right-Back,1992-07-12,Poland,24,2020,20
Albin Ekdal,Defensive Midfield,1989-07-28,Sweden,6,2020,20
Morten Thorsby,Central Midfield,1996-05-05,Norway,18,2020,20
Valerio Verre,Central Midfield,1994-01-11,Italy,8,2020,20
Adrien Silva,Central Midfield,1989-03-15,Portugal,5,2020,20
Mehdi Léris,Central Midfield,1998-05-23,France,26,2020,20
Kristoffer Askildsen,Central Midfield,2001-01-09,Norway,16,2020,20
Antonio Candreva,Right Midfield,1987-02-28,Italy,87,2020,20
Jakub Jankto,Left Midfield,1996-01-19,Czech Republic,14,2020,20
Gastón Ramírez,Attacking Midfield,1990-12-02,Uruguay,11,2020,20
Mikkel Damsgaard,Left Winger,2000-07-03,Denmark,38,2020,20
Keita Baldé,Centre-Forward,1995-03-08,Senegal,10,2020,20
Ernesto Torregrossa,Centre-Forward,1992-06-28,Italy,9,2020,20
Manolo Gabbiadini,Centre-Forward,1991-11-26,Italy,23,2020,20
Antonino La Gumina,Centre-Forward,1996-03-06,Italy,20,2020,20
Fabio Quagliarella,Centre-Forward,1983-01-31,Italy,27,2020,20
Mattia Perin,Goalkeeper,1992-11-10,Italy,1,2020,14
Alberto Paleari,Goalkeeper,1992-08-29,Italy,32,2020,14
Federico Marchetti,Goalkeeper,1983-02-07,Italy,22,2020,14
Lukas Zima,Goalkeeper,1994-01-09,Czech Republic,38,2020,14
Jérôme Onguéné,Centre-Back,1997-12-22,Cameroon,25,2020,14
Davide Biraschi,Centre-Back,1994-07-02,Italy,14,2020,14
Edoardo Goldaniga,Centre-Back,1993-11-02,Italy,5,2020,14
Domenico Criscito,Centre-Back,1986-12-30,Italy,4,2020,14
Ivan Radovanovic,Centre-Back,1988-08-29,Serbia,21,2020,14
Andrea Masiello,Centre-Back,1986-02-05,Italy,55,2020,14
Cristián Zapata,Centre-Back,1986-09-30,Colombia,2,2020,14
Luca Pellegrini,Left-Back,1999-03-07,Italy,88,2020,14
Lennart Czyborra,Left-Back,1999-05-03,Germany,99,2020,14
Davide Zappacosta,Right-Back,1992-06-11,Italy,77,2020,14
Nicolò Rovella,Defensive Midfield,2001-12-04,Italy,65,2020,14
Milan Badelj,Defensive Midfield,1989-02-25,Croatia,47,2020,14
Valon Behrami,Defensive Midfield,1985-04-19,Switzerland,11,2020,14
Kevin Strootman,Central Midfield,1990-02-13,Netherlands,20,2020,14
Miha Zajc,Central Midfield,1994-07-01,Slovenia,16,2020,14
Francesco Cassata,Central Midfield,1997-07-16,Italy,29,2020,14
Filippo Melegoni,Central Midfield,1999-02-18,Italy,24,2020,14
Paolo Ghiglione,Right Midfield,1997-02-02,Italy,18,2020,14
Manolo Portanova,Attacking Midfield,2000-06-02,Italy,17,2020,14
Marko Pjaca,Left Winger,1995-05-06,Croatia,37,2020,14
Giuseppe Caso,Left Winger,1998-12-09,Italy,30,2020,14
Goran Pandev,Second Striker,1983-07-27,North Macedonia,19,2020,14
Gianluca Scamacca,Centre-Forward,1999-01-01,Italy,9,2020,14
Eldor Shomurodov,Centre-Forward,1995-06-29,Uzbekistan,61,2020,14
Mattia Destro,Centre-Forward,1991-03-20,Italy,23,2020,14
Marco Silvestri,Goalkeeper,1991-03-02,Italy,1,2020,21
Ivor Pandur,Goalkeeper,2000-03-25,Croatia,25,2020,21
Nicola Borghetto,Goalkeeper,1999-11-25,Italy,12,2020,21
Alessandro Berardi,Goalkeeper,1991-01-16,Italy,22,2020,21
Matteo Lovato,Centre-Back,2000-02-14,Italy,6,2020,21
Koray Günter,Centre-Back,1994-08-16,Germany,21,2020,21
Giangiacomo Magnani,Centre-Back,1995-10-04,Italy,23,2020,21
Pawel Dawidowicz,Centre-Back,1995-05-20,Poland,27,2020,21
Federico Ceccherini,Centre-Back,1992-05-11,Italy,17,2020,21
Mert Cetin,Centre-Back,1997-01-01,Turkey,15,2020,21
Bruno Amione,Centre-Back,2002-01-03,Argentina,36,2020,21
Federico Dimarco,Left-Back,1997-11-10,Italy,3,2020,21
Destiny Udogie,Left-Back,2002-11-28,Italy,13,2020,21
Davide Faraoni,Right-Back,1991-10-25,Italy,5,2020,21
Adrien Tamèze,Defensive Midfield,1994-02-04,Cameroon,61,2020,21
Miguel Veloso,Defensive Midfield,1986-05-11,Portugal,4,2020,21
Ivan Ilic,Central Midfield,2001-03-17,Serbia,14,2020,21
Marco Benassi,Central Midfield,1994-09-08,Italy,24,2020,21
Ronaldo Vieira,Central Midfield,1998-07-19,England,26,2020,21
Stefano Sturaro,Central Midfield,1993-03-09,Italy,33,2020,21
Daniel Bessa,Central Midfield,1993-01-14,Italy,40,2020,21
Kevin Rüegg,Right Midfield,1998-08-05,Switzerland,19,2020,21
Darko Lazovic,Left Midfield,1990-09-15,Serbia,8,2020,21
Mattia Zaccagni,Attacking Midfield,1995-06-16,Italy,20,2020,21
Antonin Barak,Attacking Midfield,1994-12-03,Czech Republic,7,2020,21
Ebrima Colley,Left Winger,2000-02-01,The Gambia,90,2020,21
Eddie Salcedo,Centre-Forward,2001-10-01,Italy,9,2020,21
Kevin Lasagna,Centre-Forward,1992-08-10,Italy,92,2020,21
Andrea Favilli,Centre-Forward,1997-05-17,Italy,11,2020,21
Nikola Kalinic,Centre-Forward,1988-01-05,Croatia,29,2020,21
Lorenzo Montipò,Goalkeeper,1996-02-20,Italy,1,2020,26
Nicolò Manfredini,Goalkeeper,1988-05-01,Italy,12,2020,26
Igor Lucatelli,Goalkeeper,2003-08-21,Italy,22,2020,26
Pier Graziano Gori,Goalkeeper,1980-05-10,Italy,80,2020,26
Kamil Glik,Centre-Back,1988-02-03,Poland,15,2020,26
Luca Caldirola,Centre-Back,1991-02-01,Italy,5,2020,26
Federico Barba,Centre-Back,1993-09-01,Italy,93,2020,26
Alessandro Tuia,Centre-Back,1990-06-08,Italy,13,2020,26
Christian Pastina,Centre-Back,2001-02-15,Italy,58,2020,26
Daam Foulon,Left-Back,1999-03-23,Belgium,18,2020,26
Fabio Depaoli,Right-Back,1997-04-24,Italy,27,2020,26
Gaetano Letizia,Right-Back,1990-06-29,Italy,3,2020,26
Pasquale Schiattarella,Defensive Midfield,1987-05-30,Italy,28,2020,26
Artur Ionita,Central Midfield,1990-08-17,Moldova,29,2020,26
Nicolas Viola,Central Midfield,1989-10-12,Italy,10,2020,26
Bryan Dabo,Central Midfield,1992-02-18,Burkina Faso,14,2020,26
Perparim Hetemaj,Central Midfield,1986-12-12,Finland,56,2020,26
Andrés Tello,Central Midfield,1996-09-06,Colombia,8,2020,26
Siriki Sanogo,Central Midfield,2001-12-13,Cote d'Ivoire,26,2020,26
Davide Masella,Attacking Midfield,2002-05-12,Italy,30,2020,26
Riccardo Improta,Left Winger,1993-12-19,Italy,16,2020,26
Roberto Insigne,Right Winger,1994-05-11,Italy,19,2020,26
Iago Falque,Right Winger,1990-01-04,Spain,44,2020,26
Gianluca Caprari,Second Striker,1993-07-30,Italy,17,2020,26
Adolfo Gaich,Centre-Forward,1999-02-26,Argentina,7,2020,26
Gianluca Lapadula,Centre-Forward,1990-02-07,Peru,9,2020,26
Gabriele Moncini,Centre-Forward,1996-04-26,Italy,21,2020,26
Giuseppe Di Serio,Centre-Forward,2001-07-20,Italy,20,2020,26
Marco Sau,Centre-Forward,1987-11-03,Italy,25,2020,26
Alex Cordaz,Goalkeeper,1983-01-01,Italy,1,2020,25
Marco Festa,Goalkeeper,1992-06-06,Italy,16,2020,25
Gian Marco Crespi,Goalkeeper,2001-06-28,Italy,22,2020,25
Francesco D'Alterio,Goalkeeper,2002-06-11,Italy,40,2020,25
Lisandro Magallán,Centre-Back,1993-09-27,Argentina,6,2020,25
Sebastiano Luperto,Centre-Back,1996-09-06,Italy,13,2020,25
Koffi Djidji,Centre-Back,1992-11-30,Cote d'Ivoire,26,2020,25
Giuseppe Cuomo,Centre-Back,1998-02-02,Italy,3,2020,25
Vladimir Golemic,Centre-Back,1991-06-28,Serbia,5,2020,25
Luca Marrone,Centre-Back,1990-03-28,Italy,34,2020,25
Arkadiusz Reca,Left-Back,1995-06-17,Poland,69,2020,25
Antonio Mazzotta,Left-Back,1989-08-02,Italy,23,2020,25
Eduardo Henrique,Defensive Midfield,1995-05-17,Brazil,95,2020,25
Jacopo Petriccione,Defensive Midfield,1995-02-22,Italy,44,2020,25
Luca Cigarini,Defensive Midfield,1986-06-20,Italy,8,2020,25
Niccolò Zanellato,Central Midfield,1998-06-24,Italy,21,2020,25
Ahmad Benali,Central Midfield,1992-02-07,Libya,10,2020,25
Milos Vulic,Central Midfield,1996-08-19,Serbia,77,2020,25
Pedro Pereira,Right Midfield,1998-01-22,Portugal,32,2020,25
Salvatore Molina,Right Midfield,1992-01-01,Italy,17,2020,25
Andrea Rispoli,Right Midfield,1988-09-29,Italy,33,2020,25
Junior Messias,Attacking Midfield,1991-05-13,Brazil,30,2020,25
Luis Rojas,Attacking Midfield,2002-03-06,Chile,20,2020,25
Adam Ounas,Right Winger,1996-11-11,Algeria,7,2020,25
Simy,Centre-Forward,1992-05-07,Nigeria,25,2020,25
Samuel Di Carmine,Centre-Forward,1988-09-29,Italy,54,2020,25
Denis Dragus,Centre-Forward,1999-07-06,Romania,11,2020,25
Emmanuel Rivière,Centre-Forward,1990-03-03,Martinique,97,2020,25
Ivan Provedel,Goalkeeper,1994-03-17,Italy,94,2020,24
Jeroen Zoet,Goalkeeper,1991-01-06,Netherlands,1,2020,24
Titas Krapikas,Goalkeeper,1999-01-03,Lithuania,12,2020,24
Rafael,Goalkeeper,1982-03-03,Brazil,77,2020,24
Julian Chabot,Centre-Back,1998-02-12,Germany,22,2020,24
Martin Erlic,Centre-Back,1998-01-24,Croatia,28,2020,24
Ardian Ismajli,Centre-Back,1996-09-30,Albania,34,2020,24
Elio Capradossi,Centre-Back,1996-03-11,Italy,13,2020,24
Claudio Terzi,Centre-Back,1984-06-19,Italy,19,2020,24
Simone Bastoni,Left-Back,1996-11-05,Italy,20,2020,24
Riccardo Marchizza,Left-Back,1998-03-26,Italy,5,2020,24
Cristian Dell'Orco,Left-Back,1994-02-10,Italy,39,2020,24
Juan Ramos,Left-Back,1996-09-01,Uruguay,3,2020,24
Salva Ferrer,Right-Back,1998-01-21,Spain,21,2020,24
Luca Vignali,Right-Back,1996-01-11,Italy,69,2020,24
Federico Mattiello,Right-Back,1995-07-14,Italy,14,2020,24
Jacopo Sala,Right-Back,1991-12-05,Italy,7,2020,24
Lucien Agoume,Defensive Midfield,2002-02-09,France,10,2020,24
Matteo Ricci,Defensive Midfield,1994-05-27,Italy,8,2020,24
Léo Sena,Defensive Midfield,1995-12-31,Brazil,88,2020,24
Giulio Maggiore,Central Midfield,1998-03-12,Italy,25,2020,24
Tommaso Pobega,Central Midfield,1999-07-15,Italy,26,2020,24
Nahuel Estévez,Central Midfield,1995-11-14,Argentina,24,2020,24
Gennaro Acampora,Central Midfield,1994-03-29,Italy,4,2020,24
Riccardo Saponara,Attacking Midfield,1991-12-21,Italy,23,2020,24
Emmanuel Gyasi,Left Winger,1994-01-11,Ghana,11,2020,24
Kevin Agudelo,Right Winger,1998-11-14,Colombia,80,2020,24
Daniele Verde,Right Winger,1996-06-20,Italy,31,2020,24
Diego Farias,Second Striker,1990-05-10,Brazil,17,2020,24
M'Bala Nzola,Centre-Forward,1996-08-18,Angola,18,2020,24
Roberto Piccoli,Centre-Forward,2001-01-27,Italy,91,2020,24
Andrey Galabinov,Centre-Forward,1988-11-13,Bulgaria,9,2020,24
